EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
96	21:41:31	2	0.0312	0.12612591607358395	0.9968	0.9968	0.9968	0.9968	0.6889819502830505	0.8564	0.8564	0.8564	0.8564
97	21:41:32	3	0.0312	0.13564087431553226	0.9968	0.9968	0.9968	0.9968	0.6843392848968506	0.8564	0.8564	0.8564	0.8564
98	21:41:34	4	0.0312	0.1550980368931789	0.9973	0.9973	0.9973	0.9973	0.6705198287963867	0.8513	0.8513	0.8513	0.8513
99	21:41:38	1	0.0156	0.133277724163183	0.9973	0.9973	0.9973	0.9973	0.6788685321807861	0.8564	0.8564	0.8564	0.8564
100	21:41:39	2	0.0156	0.15113466166686293	0.9979	0.9979	0.9979	0.9979	0.6947267651557922	0.8564	0.8564	0.8564	0.8564
101	21:41:40	0	0.0156	0.11600928861354805	0.9979	0.9979	0.9979	0.9979	0.7051628232002258	0.8564	0.8564	0.8564	0.8564
102	21:41:46	1	0.0156	0.14876984404439472	0.9968	0.9968	0.9968	0.9968	0.7167139649391174	0.8564	0.8564	0.8564	0.8564
103	21:41:47	2	0.0156	0.16387927953331077	0.9973	0.9973	0.9973	0.9973	0.6944419741630554	0.8564	0.8564	0.8564	0.8564
104	21:41:49	3	0.0156	0.138237844027835	0.9968	0.9968	0.9968	0.9968	0.712968111038208	0.8615	0.8615	0.8615	0.8615
105	21:41:50	4	0.0156	0.14441239962979863	0.9973	0.9973	0.9973	0.9973	0.7032812833786011	0.8615	0.8615	0.8615	0.8615
106	21:41:54	1	0.0078	0.13075331815053876	0.9979	0.9979	0.9979	0.9979	0.6959515810012817	0.8615	0.8615	0.8615	0.8615
107	21:41:56	2	0.0078	0.15518333661460787	0.9979	0.9979	0.9979	0.9979	0.6902245283126831	0.8564	0.8564	0.8564	0.8564
108	21:41:57	3	0.0078	0.14135727812757595	0.9979	0.9979	0.9979	0.9979	0.6884928345680237	0.8564	0.8564	0.8564	0.8564
109	21:41:59	4	0.0078	0.1372201697645578	0.9973	0.9973	0.9973	0.9973	0.6875494718551636	0.8564	0.8564	0.8564	0.8564
110	21:42:03	1	0.0039	0.12886508073775318	0.9979	0.9979	0.9979	0.9979	0.6998012661933899	0.8564	0.8564	0.8564	0.8564
111	21:42:04	2	0.0039	0.12734785542643076	0.9979	0.9979	0.9979	0.9979	0.6994510293006897	0.8564	0.8564	0.8564	0.8564
112	21:42:05	3	0.0039	0.14683442872703723	0.9979	0.9979	0.9979	0.9979	0.6969620585441589	0.8564	0.8564	0.8564	0.8564
113	21:42:07	4	0.0039	0.13951963980805465	0.9973	0.9973	0.9973	0.9973	0.6991631984710693	0.8564	0.8564	0.8564	0.8564
114	21:42:10	0	0.0020	0.11147374114055876	0.9979	0.9979	0.9979	0.9979	0.7029229998588562	0.8564	0.8564	0.8564	0.8564
115	21:42:15	1	0.0020	0.15971894158656677	0.9979	0.9979	0.9979	0.9979	0.7004553079605103	0.8564	0.8564	0.8564	0.8564
116	21:42:16	2	0.0020	0.11190460966939472	0.9979	0.9979	0.9979	0.9979	0.7018874287605286	0.8564	0.8564	0.8564	0.8564
117	21:42:18	3	0.0020	0.12561411774501002	0.9979	0.9979	0.9979	0.9979	0.7027026414871216	0.8615	0.8615	0.8615	0.8615
118	21:42:19	4	0.0020	0.13082432937801755	0.9979	0.9979	0.9979	0.9979	0.7006211876869202	0.8615	0.8615	0.8615	0.8615
119	21:42:23	1	0.0010	0.13154683268075837	0.9979	0.9979	0.9979	0.9979	0.7013538479804993	0.8564	0.8564	0.8564	0.8564
120	21:42:25	2	0.0010	0.12404778831363342	0.9979	0.9979	0.9979	0.9979	0.7001221179962158	0.8564	0.8564	0.8564	0.8564
